IRIS;LIBIRIS;COM;LIBCOM;DEC_PIMP14;DEC_TP6014;DEC_Q114;DEC_MED14;DEC_Q314;DEC_EQ14;DEC_D114;DEC_D214;DEC_D314;DEC_D414;DEC_D614;DEC_D714;DEC_D814;DEC_D914;DEC_RD14;DEC_S80S2014;DEC_GI14;DEC_PTSA14;DEC_PCHO14;DEC_PBEN14;DEC_PPEN14;DEC_PAUT14;note
27380301;Tergnier 1;2738;Tergnier;46,4;31,7;10434;16226;23502;0,8;4386;8928;11646;14138;19066;21944;25178;31828;7,3;9,1;0,3;49,4;3,6;3,3;40,8;2,9;0
27380302;Tergnier 2;2738;Tergnier;33,5;47,3;5294;12852;19394;1,1;444;3326;6508;9693;15352;18054;20904;25484;57,4;31,8;0,4;55;5,1;2,2;35,5;2,2;0
27380401;Fargniers;2738;Tergnier;46,2;31,3;10256;16658;22494;0,7;4274;8838;11728;14576;18866;20972;24108;28406;6,6;8;0,3;55;4,3;3,1;35,2;2,4;0
28100102;Avenue de Compiegne;2810;Villers-Cotterêts;52,8;23,9;12714;18354;25834;0,7;6786;10756;14082;16330;20654;23724;28038;35818;5,3;6,9;0,3;55,7;2,9;3,3;33,5;4,6;0
28100202;Chateau;2810;Villers-Cotterêts;55,1;23;12530;19238;27272;0,8;6730;11248;14032;16424;21736;25044;29100;36856;5,5;7,5;0,4;59,3;3,6;4,9;26;6,2;0
28100302;Pisseleux;2810;Villers-Cotterêts;58,5;16,4;14562;19750;25052;0,5;10200;13104;15546;17718;21516;23586;26608;31956;3,1;4;0,3;70,3;3,2;2,2;22,1;2,2;0
28100401;Vivieres;2810;Villers-Cotterêts;32,4;46,3;7422;12850;18742;0,9;3466;6756;8512;10890;14586;17342;20496;24664;7,1;8,1;0,3;72,6;7,2;0,6;18,7;0,9;0
30950101;Centre Historique;3095;Cusset;42,5;35,5;8990;16024;23484;0,9;1150;7320;10454;13282;19030;21722;25256;33256;28,9;17,2;0,4;42,8;3,3;8,4;41,6;3,9;0
30950102;Montbeton-Les Joncheres;3095;Cusset;;;11370;18415;25264;0,8;4628;9822;13494;16134;21222;23486;26810;33110;7,2;9,1;0,3;49;3,3;4,2;39,2;4,3;0
30950103;Presles-Puybesseau;3095;Cusset;41,9;41;7756;14742;21300;0,9;1622;6229;9142;11990;17580;20010;22978;28188;17,4;15,2;0,4;56,9;4,1;3;33,7;2,3;0
30950105;Champcourt-Zone Industrielle;3095;Cusset;57,2;17,5;14670;19588;26610;0,6;8786;13306;15730;17842;21604;24990;28486;35472;4;5,3;0,3;50,1;2,2;5,9;37,9;3,9;0
30950106;Zone Verte;3095;Cusset;65,9;12,2;16466;22136;28718;0,6;11052;14670;17622;19858;24570;27280;30892;37834;3,4;4,2;0,3;54;2,7;6,5;32,4;4,4;0
30950111;Boulaires-Graves-Chambon _tendu;3095;Cusset;53,4;22;12918;18524;25398;0,7;8150;11696;14330;16604;20947;23988;27530;34668;4,3;5,5;0,3;47,3;3;4,6;41,1;4;0
31850101;Cite Bretonnie-Chatelet-Favieres-Conches;3185;Montluçon;50,9;29,9;10476;18704;28260;1;1724;8382;12200;15652;21880;25526;31326;42280;24,5;21,4;0,5;46,5;2,9;10;30,3;10,3;0
31850102;Dienat-Forges;3185;Montluçon;51,3;29,6;10544;18074;26172;0,9;3876;8270;12390;15430;20842;24278;28806;37506;9,7;13;0,4;51,6;3,5;6,8;33,2;4,9;0
31850103;Chantoiseau-Faucheroux;3185;Montluçon;49,1;28,5;10784;17804;24502;0,8;4252;9552;12618;15486;20153;22732;26863;32772;7,7;9,4;0,4;50,9;3,3;2,7;38,3;4,8;0
31850104;Fours ˆ Chaux;3185;Montluçon;48,9;29,1;11186;16946;22900;0,7;5406;9232;12364;14780;19260;21114;24568;28714;5,3;6,7;0,3;49,7;4,1;3,5;39,8;2,9;0
31850105;Montcourtais;3185;Montluçon;40,5;43,1;6898;14253;20772;1;482;4470;8216;11282;16798;19616;21930;26696;55,4;26,9;0,4;46,7;4,8;0,9;45;2,6;0
